Order_ID,Product_Category,Product_Price,Discount_Applied,Delivery_Time_Days,Customer_Type,Payment_Method,Customer_Return_Rate,Product_Rating,Returned,seller_id,marketplace_id,order_timestamp
ORD00077,Footwear,2054.49,638.94,1,New,Wallet,0.11,4.8,1,S010,M003,2025-10-22
ORD00078,Grocery,589.16,73.51,4,New,Card,0.05,1.1,0,S010,M003,2025-10-20
ORD00079,Clothing,1017.61,315.79,4,Returning,COD,0.06,1.5,1,S006,M002,2025-11-02
ORD00080,Electronics,3519.2,411.93,3,New,Card,0.11,1.5,0,S009,M003,2025-11-20
ORD00081,Grocery,525.48,95.27,4,New,COD,0.12,2.2,1,S007,M002,2025-09-29
ORD00082,Clothing,4860.9,1025.95,6,Returning,UPI,0.12,2.9,1,S006,M002,2025-08-30
ORD00083,Clothing,3464.79,644.76,6,Returning,Card,0.09,2.2,0,S010,M003,2025-09-03
ORD00084,Home,2927.45,546.59,7,Returning,Card,0.03,2.5,0,S007,M002,2025-09-19
ORD00085,Clothing,3967.06,1345.86,6,Returning,COD,0.07,2.1,0,S007,M002,2025-10-08
ORD00086,Grocery,1203.49,396.03,6,New,Wallet,0.21,1.8,0,S008,M002,2025-10-18
ORD00087,Beauty,3037.92,422.92,2,New,Wallet,0.25,3.3,0,S005,M001,2025-10-18
ORD00088,Beauty,1104.34,137.03,2,New,Wallet,0.09,4.2,0,S009,M003,2025-09-14
ORD00089,Beauty,437.09,74.7,2,Returning,UPI,0.03,4.4,0,S007,M002,2025-09-22
ORD00090,Beauty,1201.24,129.36,3,New,Card,0.14,3.8,0,S002,M001,2025-11-05
ORD00091,Home,2148.96,144.67,7,Returning,Wallet,0.22,3.3,1,S006,M002,2025-09-28
ORD00092,Clothing,2444.85,307.35,5,New,Wallet,0.15,4.9,0,S001,M001,2025-10-06
ORD00093,Home,2528.87,494.34,3,New,UPI,0.17,2.3,0,S004,M001,2025-09-18
ORD00094,Footwear,3083.74,721.93,7,Returning,Wallet,0.12,1.0,0,S010,M003,2025-11-05
ORD00095,Grocery,3150.88,977.78,7,New,COD,0.22,1.3,0,S010,M003,2025-10-07
ORD00096,Beauty,3065.24,787.4,5,New,COD,0.16,4.3,0,S002,M001,2025-11-18
ORD00097,Home,583.56,106.11,3,New,UPI,0.08,1.9,1,S010,M003,2025-09-05
ORD00098,Home,4830.5,1454.86,3,Returning,Wallet,0.14,4.8,1,S010,M003,2025-10-28
ORD00099,Beauty,4766.66,1229.83,3,Returning,Wallet,0.2,3.6,0,S010,M003,2025-11-18
ORD00100,Beauty,612.45,81.13,5,Returning,Wallet,0.03,3.1,0,S001,M001,2025-09-27
ORD00101,Grocery,4815.62,660.71,4,Returning,COD,0.16,4.9,0,S008,M002,2025-10-14
ORD00102,Grocery,2660.84,531.2,7,New,Wallet,0.15,4.9,1,S004,M001,2025-09-04
ORD00103,Footwear,4503.61,332.25,2,New,COD,0.18,2.1,0,S006,M002,2025-10-21
ORD00104,Beauty,2904.03,236.49,1,New,UPI,0.09,4.2,0,S009,M003,2025-10-29
ORD00105,Clothing,1666.82,234.22,6,New,Card,0.16,2.4,0,S002,M001,2025-10-13
ORD00106,Footwear,4646.9,1605.88,1,New,Wallet,0.13,1.4,1,S005,M001,2025-10-04
ORD00107,Clothing,3578.22,937.36,3,Returning,UPI,0.24,3.2,0,S001,M001,2025-11-18
ORD00108,Grocery,1642.13,518.45,6,Returning,COD,0.07,1.4,0,S002,M001,2025-09-02
ORD00109,Footwear,3696.28,733.33,4,Returning,UPI,0.15,4.0,0,S003,M001,2025-11-15
ORD00110,Beauty,1387.77,251.05,5,Returning,Card,0.18,2.0,1,S010,M003,2025-11-22
ORD00111,Clothing,3405.56,378.35,7,New,Card,0.01,4.1,0,S010,M003,2025-11-13
ORD00112,Footwear,2746.01,340.89,3,New,Wallet,0.06,1.6,0,S006,M002,2025-09-14
ORD00113,Home,3965.57,1066.83,5,New,COD,0.24,1.7,0,S007,M002,2025-09-29
ORD00114,Grocery,1510.51,266.34,6,Returning,Wallet,0.07,4.6,0,S010,M003,2025-09-05
ORD00115,Electronics,2099.18,538.8,7,Returning,Wallet,0.2,3.3,1,S005,M001,2025-09-20
ORD00116,Grocery,4780.83,1187.76,6,New,COD,0.07,5.0,0,S004,M001,2025-10-12
ORD00117,Grocery,1423.06,218.84,7,New,COD,0.05,3.8,0,S010,M003,2025-10-19
ORD00118,Electronics,2808.07,551.73,6,Returning,Wallet,0.07,1.7,0,S009,M003,2025-09-06
ORD00119,Home,3545.14,414.6,2,Returning,UPI,0.15,4.1,0,S007,M002,2025-09-04
ORD00120,Electronics,3072.85,786.92,7,Returning,COD,0.04,1.2,0,S002,M001,2025-09-17
ORD00121,Clothing,3594.52,1157.26,6,Returning,COD,0.03,3.1,0,S007,M002,2025-11-15
ORD00122,Home,529.09,183.97,5,New,Wallet,0.02,2.7,0,S006,M002,2025-11-27
ORD00123,Beauty,4678.02,1277.56,6,Returning,Card,0.04,4.4,1,S010,M003,2025-09-26
ORD00124,Footwear,4298.52,1087.06,6,Returning,Wallet,0.07,3.1,1,S006,M002,2025-10-04
ORD00125,Home,1048.07,87.57,4,New,Card,0.12,1.8,0,S006,M002,2025-09-28
ORD00126,Home,2636.33,801.72,6,New,UPI,0.09,3.6,0,S008,M002,2025-09-28
ORD00127,Electronics,4919.27,1487.68,2,New,Card,0.02,2.3,1,S010,M003,2025-09-02
ORD00128,Beauty,3179.37,283.7,2,Returning,UPI,0.06,2.9,1,S008,M002,2025-10-05
ORD00129,Beauty,4803.09,920.08,4,New,UPI,0.06,4.3,0,S008,M002,2025-09-05
ORD00130,Electronics,404.71,140.34,7,New,Wallet,0.03,4.8,0,S001,M001,2025-10-10
ORD00131,Clothing,4660.1,782.21,5,Returning,Card,0.16,2.8,0,S007,M002,2025-10-04
ORD00132,Footwear,1164.55,376.89,5,Returning,Card,0.04,3.7,1,S010,M003,2025-10-24
ORD00133,Grocery,614.1,173.49,4,Returning,Wallet,0.02,4.5,1,S005,M001,2025-09-06
ORD00134,Electronics,4424.77,1256.19,3,New,UPI,0.09,3.1,0,S001,M001,2025-09-25
ORD00135,Clothing,3364.06,478.27,2,New,UPI,0.02,1.4,0,S009,M003,2025-11-27
ORD00136,Grocery,3157.44,211.75,5,New,Card,0.16,2.4,0,S009,M003,2025-11-20
ORD00137,Home,549.05,37.49,3,Returning,UPI,0.18,3.2,0,S009,M003,2025-10-22
ORD00138,Footwear,2456.75,221.09,1,Returning,Wallet,0.18,1.6,0,S008,M002,2025-09-19
ORD00139,Grocery,4651.72,1447.32,3,Returning,COD,0.12,1.7,0,S008,M002,2025-09-17
ORD00140,Electronics,1815.88,610.97,3,Returning,COD,0.08,2.8,0,S004,M001,2025-10-09
ORD00141,Footwear,2185.66,130.68,3,Returning,UPI,0.22,2.9,1,S009,M003,2025-11-27
ORD00142,Grocery,4399.52,1106.93,5,New,Wallet,0.15,3.6,0,S007,M002,2025-11-27
ORD00143,Home,401.19,84.66,4,New,COD,0.21,1.9,1,S001,M001,2025-10-07
ORD00144,Beauty,1539.37,266.36,3,Returning,UPI,0.11,3.9,0,S001,M001,2025-10-08
ORD00145,Beauty,3071.94,718.37,6,Returning,Wallet,0.21,3.2,1,S006,M002,2025-11-20
ORD00146,Electronics,902.35,73.25,1,Returning,Wallet,0.17,2.2,0,S008,M002,2025-09-16
ORD00147,Home,1627.84,366.8,2,New,UPI,0.05,2.5,1,S010,M003,2025-10-29
ORD00148,Clothing,4678.44,1154.76,4,New,COD,0.02,4.3,1,S009,M003,2025-10-04
ORD00149,Home,1139.71,274.69,3,New,UPI,0.11,3.8,0,S001,M001,2025-11-27
ORD00150,Home,2594.53,876.73,4,Returning,UPI,0.21,2.5,0,S009,M003,2025-11-16
ORD00151,Home,2273.37,261.59,7,Returning,Card,0.21,2.7,0,S003,M001,2025-10-17
ORD00152,Beauty,2234.88,366.31,7,New,Wallet,0.25,2.1,0,S002,M001,2025-10-15
ORD00153,Home,4146.65,548.02,1,Returning,Card,0.14,1.8,0,S003,M001,2025-09-14
ORD00154,Beauty,767.0,171.08,6,Returning,Wallet,0.03,1.4,1,S010,M003,2025-09-16
ORD00155,Beauty,690.97,125.58,4,Returning,Wallet,0.02,2.7,0,S002,M001,2025-11-15
ORD00156,Electronics,415.46,108.38,1,Returning,Card,0.16,2.8,0,S008,M002,2025-10-08
ORD00157,Footwear,4789.09,1562.97,2,Returning,Card,0.04,1.2,0,S009,M003,2025-11-12
ORD00158,Home,3347.68,605.16,1,New,COD,0.09,4.1,1,S001,M001,2025-09-12
ORD00159,Grocery,3834.56,409.79,1,Returning,Wallet,0.16,2.0,0,S001,M001,2025-10-13
ORD00160,Beauty,2397.09,541.8,6,Returning,COD,0.04,3.3,0,S005,M001,2025-11-13
ORD00161,Footwear,2654.64,800.42,1,Returning,Wallet,0.17,4.1,0,S002,M001,2025-09-22
ORD00162,Grocery,2796.89,898.45,1,New,UPI,0.02,1.7,0,S008,M002,2025-11-09
ORD00163,Electronics,2400.58,706.18,3,Returning,COD,0.21,4.4,0,S009,M003,2025-09-29
ORD00164,Home,1225.61,302.99,3,Returning,Wallet,0.12,4.2,1,S007,M002,2025-10-12
ORD00165,Clothing,2895.55,635.16,1,Returning,Wallet,0.06,1.7,0,S004,M001,2025-09-15
ORD00166,Clothing,930.3,207.07,7,Returning,Card,0.02,4.7,1,S004,M001,2025-10-29
ORD00167,Electronics,237.29,52.51,2,New,Wallet,0.05,2.4,0,S002,M001,2025-09-05
ORD00168,Clothing,594.1,110.03,7,New,Wallet,0.22,3.9,0,S005,M001,2025-11-25
ORD00169,Clothing,3290.95,622.29,2,Returning,COD,0.02,4.4,1,S009,M003,2025-11-04
ORD00170,Beauty,276.39,33.59,4,Returning,Wallet,0.21,4.9,0,S004,M001,2025-11-07
ORD00171,Clothing,3535.78,1066.9,5,Returning,COD,0.16,4.3,0,S007,M002,2025-09-03
ORD00172,Grocery,4624.07,1562.61,6,New,Card,0.18,3.3,0,S003,M001,2025-10-15
ORD00173,Home,2900.27,721.18,1,Returning,Wallet,0.19,2.7,0,S001,M001,2025-09-15
ORD00174,Clothing,3716.09,1176.42,2,New,Card,0.22,4.6,0,S009,M003,2025-10-25
ORD00175,Beauty,1616.22,448.93,4,New,Wallet,0.08,1.3,0,S010,M003,2025-11-03
ORD00176,Electronics,4977.65,930.98,4,New,Wallet,0.03,2.3,0,S007,M002,2025-08-30
ORD00177,Clothing,849.58,296.04,3,Returning,Card,0.06,3.6,0,S007,M002,2025-10-12
ORD00178,Home,3550.74,1084.48,5,New,COD,0.17,2.3,0,S001,M001,2025-11-05
ORD00179,Beauty,3355.78,804.14,3,Returning,COD,0.12,1.2,0,S005,M001,2025-10-30
ORD00180,Clothing,2424.38,172.32,4,New,Card,0.11,3.4,0,S007,M002,2025-11-22
ORD00181,Beauty,4560.53,519.96,5,Returning,Card,0.1,2.0,1,S007,M002,2025-09-28
ORD00182,Home,4100.24,1330.8,3,New,COD,0.07,2.4,1,S009,M003,2025-09-15
ORD00183,Footwear,1085.18,321.99,3,New,COD,0.09,1.2,0,S007,M002,2025-09-14
ORD00184,Footwear,4590.87,261.89,7,New,Card,0.16,2.5,0,S003,M001,2025-10-13
ORD00185,Beauty,529.7,64.75,6,New,UPI,0.08,4.5,0,S006,M002,2025-09-09
ORD00186,Clothing,2808.27,760.78,3,Returning,COD,0.07,4.8,0,S004,M001,2025-09-18
ORD00187,Footwear,4621.96,442.08,4,New,UPI,0.09,1.6,1,S009,M003,2025-11-20
ORD00188,Beauty,919.19,55.62,5,Returning,UPI,0.18,1.2,0,S010,M003,2025-08-30
ORD00189,Home,541.76,60.46,1,New,Wallet,0.17,3.0,0,S007,M002,2025-09-15
ORD00190,Beauty,4682.9,591.15,7,Returning,Card,0.02,3.8,1,S002,M001,2025-11-06
ORD00191,Grocery,4591.85,1093.25,7,New,Card,0.08,4.9,0,S008,M002,2025-11-11
ORD00192,Electronics,3759.83,735.74,5,New,UPI,0.22,4.7,1,S008,M002,2025-11-04
ORD00193,Home,207.72,14.46,2,Returning,UPI,0.18,2.7,0,S006,M002,2025-10-30
ORD00194,Footwear,1429.31,286.6,1,New,Wallet,0.12,3.8,0,S001,M001,2025-09-01
ORD00195,Home,3823.42,1007.31,7,Returning,Wallet,0.11,2.0,0,S004,M001,2025-10-05
ORD00196,Clothing,1539.5,153.07,1,New,COD,0.13,4.1,1,S004,M001,2025-10-13
ORD00197,Clothing,1310.89,76.8,4,Returning,UPI,0.21,3.5,0,S010,M003,2025-09-16
ORD00198,Clothing,1305.54,446.3,4,Returning,Wallet,0.15,3.0,0,S009,M003,2025-10-10
ORD00199,Beauty,541.69,149.65,4,Returning,Wallet,0.22,3.2,0,S009,M003,2025-09-03
ORD00200,Beauty,3966.2,385.62,2,Returning,Wallet,0.02,2.1,0,S001,M001,2025-10-30
ORD00201,Clothing,4103.08,382.31,1,Returning,UPI,0.07,1.6,0,S002,M001,2025-09-26
ORD00202,Home,3356.8,438.71,6,New,Wallet,0.15,4.6,0,S010,M003,2025-09-10
ORD00203,Footwear,4708.03,651.92,4,New,Wallet,0.04,1.9,0,S007,M002,2025-09-16
ORD00204,Clothing,2088.59,403.48,1,New,Card,0.05,4.0,0,S005,M001,2025-10-29
ORD00205,Beauty,1080.97,272.81,6,Returning,UPI,0.17,2.2,0,S008,M002,2025-11-10
ORD00206,Beauty,3813.63,1095.13,1,Returning,Card,0.01,3.1,0,S002,M001,2025-10-14
ORD00207,Grocery,3582.24,324.33,7,New,Wallet,0.13,2.5,0,S007,M002,2025-10-13
ORD00208,Beauty,322.09,109.72,1,Returning,Wallet,0.02,1.4,0,S003,M001,2025-09-27
ORD00209,Footwear,1842.7,583.09,3,Returning,COD,0.05,2.6,0,S010,M003,2025-09-08
ORD00210,Beauty,908.53,146.48,7,New,COD,0.16,3.6,0,S010,M003,2025-10-19
ORD00211,Home,4935.23,1194.96,5,Returning,Card,0.09,1.7,0,S005,M001,2025-10-13
ORD00212,Footwear,4645.6,809.34,5,Returning,COD,0.15,4.6,0,S008,M002,2025-10-12
ORD00213,Grocery,200.86,14.18,1,New,UPI,0.22,1.6,0,S009,M003,2025-10-20
ORD00214,Grocery,1471.43,149.83,2,New,Wallet,0.05,3.0,0,S007,M002,2025-10-19
ORD00215,Electronics,1288.18,184.17,6,New,Card,0.09,3.0,0,S009,M003,2025-11-27
ORD00216,Home,1294.3,442.24,6,New,Wallet,0.11,4.4,0,S008,M002,2025-09-30
ORD00217,Grocery,1421.53,125.65,6,New,UPI,0.03,3.1,0,S008,M002,2025-09-23
ORD00218,Beauty,4172.55,340.82,5,Returning,Card,0.21,3.2,0,S006,M002,2025-11-18
ORD00219,Footwear,3084.89,699.13,2,New,COD,0.19,1.8,0,S010,M003,2025-09-28
ORD00220,Clothing,2218.23,219.28,3,New,UPI,0.1,2.3,1,S002,M001,2025-09-05
ORD00221,Home,3871.29,859.35,7,New,UPI,0.08,4.6,1,S007,M002,2025-11-10
ORD00222,Home,2121.18,260.43,6,New,Card,0.13,3.2,0,S010,M003,2025-10-22
ORD00223,Grocery,3549.21,571.54,4,Returning,Card,0.14,1.6,0,S008,M002,2025-09-13
ORD00224,Clothing,2309.94,729.6,5,Returning,Wallet,0.01,1.9,1,S009,M003,2025-10-21
ORD00225,Home,2998.7,1020.83,3,Returning,Wallet,0.09,2.8,0,S009,M003,2025-10-09
ORD00226,Home,2340.01,573.13,7,New,UPI,0.21,2.3,0,S009,M003,2025-11-07
ORD00227,Home,3893.58,220.4,1,New,UPI,0.14,2.3,0,S005,M001,2025-11-18
ORD00228,Clothing,3788.61,599.39,1,Returning,UPI,0.15,3.9,1,S006,M002,2025-11-27
ORD00229,Beauty,530.73,96.19,2,Returning,COD,0.19,2.6,0,S010,M003,2025-09-28
ORD00230,Electronics,592.8,86.37,7,New,COD,0.09,1.0,0,S009,M003,2025-10-09
ORD00231,Home,2904.74,580.12,6,Returning,COD,0.17,4.1,1,S003,M001,2025-10-01
ORD00232,Clothing,755.66,113.57,3,Returning,Card,0.09,1.5,0,S009,M003,2025-08-31
ORD00233,Beauty,4467.59,785.86,5,New,Card,0.19,1.7,1,S010,M003,2025-10-23
ORD00234,Clothing,4023.98,915.67,3,New,COD,0.16,4.5,1,S006,M002,2025-09-03
ORD00235,Grocery,2827.62,473.96,7,New,UPI,0.04,1.5,0,S004,M001,2025-09-03
ORD00236,Footwear,3179.02,360.01,5,Returning,COD,0.24,3.9,0,S010,M003,2025-10-13
ORD00237,Electronics,3705.57,735.7,5,Returning,COD,0.21,4.8,0,S009,M003,2025-11-13
ORD00238,Beauty,4418.33,1108.58,7,New,UPI,0.18,5.0,0,S005,M001,2025-10-21
ORD00239,Home,667.79,61.61,1,New,Card,0.07,1.8,0,S007,M002,2025-10-22
ORD00240,Grocery,4711.85,1635.97,2,New,COD,0.1,1.3,0,S010,M003,2025-09-10
ORD00241,Beauty,1633.26,352.28,3,New,UPI,0.16,1.4,0,S002,M001,2025-10-03
ORD00242,Beauty,3206.98,524.52,2,New,Wallet,0.23,4.7,0,S004,M001,2025-10-28
ORD00243,Electronics,4943.95,423.69,3,New,UPI,0.05,2.4,0,S009,M003,2025-11-24
ORD00244,Electronics,2558.88,886.68,1,Returning,COD,0.04,4.1,0,S010,M003,2025-11-06
ORD00245,Footwear,3462.74,1030.34,6,New,Card,0.14,1.1,1,S002,M001,2025-11-26
ORD00246,Beauty,4255.19,668.49,6,New,UPI,0.24,4.9,0,S009,M003,2025-10-07
ORD00247,Grocery,2055.08,542.55,5,Returning,Card,0.02,3.7,0,S010,M003,2025-11-08
ORD00248,Grocery,2431.33,160.79,2,Returning,Card,0.14,2.4,1,S010,M003,2025-10-08
ORD00249,Footwear,4834.42,1234.99,5,Returning,UPI,0.12,2.0,0,S008,M002,2025-11-07
ORD00250,Beauty,1682.52,553.62,5,New,COD,0.19,2.4,1,S008,M002,2025-10-12
ORD00251,Grocery,1350.26,366.53,7,New,Card,0.19,2.8,1,S009,M003,2025-10-07
ORD00252,Clothing,2343.54,421.09,2,New,COD,0.24,2.7,0,S004,M001,2025-09-12
ORD00253,Grocery,3682.63,1286.04,4,New,Wallet,0.24,3.1,0,S007,M002,2025-08-31
ORD00254,Grocery,4400.22,605.96,1,Returning,UPI,0.04,4.6,0,S002,M001,2025-11-04
ORD00255,Home,1570.21,478.3,5,New,Card,0.21,2.0,0,S005,M001,2025-09-10
ORD00256,Footwear,2633.46,279.98,6,New,COD,0.1,2.6,0,S002,M001,2025-11-13
ORD00257,Electronics,2956.28,1014.46,3,Returning,Card,0.2,1.2,0,S005,M001,2025-11-01
ORD00258,Grocery,1057.55,161.51,4,New,COD,0.18,1.6,0,S007,M002,2025-10-24
ORD00259,Electronics,900.24,309.21,2,Returning,UPI,0.08,4.9,0,S003,M001,2025-11-14
ORD00260,Beauty,4040.9,989.01,5,New,UPI,0.03,3.6,1,S010,M003,2025-10-07
ORD00261,Clothing,3102.68,374.18,5,New,UPI,0.17,1.5,0,S003,M001,2025-11-09
ORD00262,Grocery,1151.9,154.65,3,New,Wallet,0.08,1.8,0,S010,M003,2025-09-18
ORD00263,Grocery,2402.71,400.19,5,Returning,COD,0.11,1.9,0,S004,M001,2025-10-15
ORD00264,Footwear,4580.47,967.95,4,Returning,Wallet,0.11,2.2,0,S009,M003,2025-11-09
ORD00265,Home,4376.8,818.48,1,New,Wallet,0.15,3.6,0,S007,M002,2025-09-24
ORD00266,Electronics,225.51,68.52,6,Returning,Card,0.05,3.6,0,S006,M002,2025-10-02
ORD00267,Clothing,3602.04,781.02,4,Returning,Card,0.15,2.6,0,S009,M003,2025-10-25
ORD00268,Home,331.81,51.62,4,Returning,UPI,0.08,3.0,0,S010,M003,2025-11-19
ORD00269,Grocery,1995.46,471.72,7,New,Wallet,0.15,2.2,0,S009,M003,2025-11-11
